Name	Tonnage	Bonus
Arm Mod + +	3.0	+ 60 Melee Dmg. 
TTS Artemis IV +	1.0	Ignores 2 Evasion (Missile) - 1 Ton
PPC Capacitator +	1.0	+ 25% PPC Damage + 10% PPC Heat
Hybrid Defensive Package +	0.5	- 25% Dmg. + 45% Stability
Comms System + + +	0.0	+ 4 Resolve Gain 
Arm Mod + + +	1.0	+ 60 Melee Dmg. 
Drive Train	0.0	+ 2 Initiative for this unit 
Cockpit Mod +	0.0	+ 2 Injury Resist 
Arm Mod	0.0	+ 10 Melee Dmg. 
TTS +	2.0	+ 2 Acc. (Ballistic) 
Gyro + +	0.0	- 30% Stb.Dmg. Taken 
AMS +	1.5	+ 5 Def. vs Missiles - 20% Dmg. from Missiles
Engine (LAM)	0.0	+ 20% Jump Distance - 10 Heat / Turn
M.A.S.C. +	2.0	+ 30% Walk, + 50% Sprint Speed + 5% Heat Generated
Active Probe + +	1.5	+ Area Sensor Lock + 2 Acc., + 30% Sensor Range
Rangefinder + +	0.0	+ 100m View Dist. 
Heavy Defensive Suite +	2.0	- 30% Dmg. + 50% Stability
Gyro +	0.0	+ 2 Hit Defense 
Gyro	0.0	+ 1 Hit Defense 
Engine (LAM)	0.0	 
TTS + + +	1.0	+ 3 Acc. (Missile) 
Guardian ECM + +	1.5	+ 3 Hit Defense - 10% Dmg.
Rangefinder + + +	0.0	+ 120m View Dist. 
Heat Sink (X)	0.0	- 3 Heat / Turn 
Arm Mod +	1.0	+ 40 Melee Stb.Dmg. 
TTS +	2.0	+ 2 Acc. (Energy) 
Exchanger	2.0	 - 10% Weapon Heat 
Heat Bank + +	1.0	+ 30 Max Heat + 15 Overheat Threshold
Gyro + +	0.0	+ 3 Melee Hit 
Adv. Command Mod	8.0	+ 1 Acc. (All) - 10% Dmg. (Lance)
Lance Command Mod	0.0	+ Called Shot - 10% Dmg. (Lance)
Optimized Capacitors	0.0	+ 20% Energy Dmg. 
TTS + + +	1.0	+ 3 Acc. (Ballistic) 
Exchanger + +	4.0	 - 20% Weapon Heat 
Hybrid Defensive Package	0.5	- 20% Dmg. + 40% Stability
TTS + +	3.0	+ 3 Acc. (Missile) 
Arm Mod +	1.0	+ 30 Melee Stb.Dmg. 
Passive Defensive Matrix +	0.0	- 25% Dmg. + 45% Stability
Leg Mod +	0.0	+ 10 DFA Dmg. 
Targeting Computer + + +	0.0	Ignores 2 Evasion (Ballistic + Energy) - 3 Tons
Heat Bank +	1.0	+ 20 Max Heat + 10 Overheat Threshold
Heat Sink (D-CC)	1.0	- 12 Heat / Turn 
IS Engine Internal HeatSink 2	2.0	- 6 Heat / Turn 
Cockpit Mod	0.0	+ 1 Injury Resist 
TTS +	2.0	+ 2 Acc. (Missile) 
TTS + +	3.0	+ 3 Acc. (Ballistic) 
Assault Enhancement Package	0.0	+ 10% Dmg. dealt - 10% Weapon Heat
TTS Artemis IV (C) +	0.5	Ignores 2 Evasion (Missile) + 50% Crit. (Missile), - 1 Ton
Arm Mod + +	3.0	+ 60 Melee Stb.Dmg. 
Guardian ECM (C) +	1.0	+ 2 Hit Defense - 10% Dmg.
VS System + +	5.0	Stealth, Indirect Fire Immunity + 4 Def., - 10% Dmg.
Passive Defensive Matrix	0.0	- 20% Dmg. + 35% Stability
AUTOPILOT	1.0	 
Comms System	0.0	+ 1 Resolve Gain 
Active Probe +	1.5	+ Area Sensor Lock + 1 Acc., + 20% Sensor Range
Cockpit Mod + +	0.0	+ 3 Injury Resist 
Arm Mod + +	2.0	+ 40 Melee Dmg. 
